-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2024 
Location: Latitude  38.4926   Longitude -78.5498 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 484.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,6,11,20.94,19.79,20.37,21.06,5.42,23.88,18.46,2.53,7.71,0.22,408.51,53.23,148.3,7.85,0.2,0.98
2021,6,12,21.0,17.09,19.05,21.7,10.87,26.87,16.01,4.32,7.91,0.38,388.41,85.47,150.4,11.78,0.3,1.51
2021,6,13,22.74,18.45,20.6,23.23,12.26,28.91,16.65,4.28,7.99,0.37,397.22,85.47,152.95,11.92,0.31,1.58
2021,6,14,23.25,16.49,19.87,23.73,12.2,29.73,17.53,7.89,8.29,0.68,381.13,150.09,156.12,19.58,0.48,2.42
2021,6,15,19.65,13.3,16.48,20.19,10.69,25.0,14.31,7.18,8.28,0.62,361.43,134.52,153.31,17.55,0.41,2.02
2021,6,16,18.12,8.52,13.32,18.72,11.6,24.01,12.42,8.64,8.71,0.75,322.15,159.83,159.66,20.69,0.45,2.25
2021,6,17,17.84,5.58,11.71,17.83,15.54,24.74,9.19,8.88,8.93,0.77,299.93,162.9,162.21,21.05,0.45,2.25
2021,6,18,21.91,11.38,16.65,21.6,16.11,29.41,13.3,7.57,8.37,0.66,349.2,143.09,156.31,18.63,0.43,2.16
2021,6,19,23.3,18.72,21.01,23.33,8.19,27.62,19.43,4.02,7.6,0.34,403.46,80.14,145.11,11.04,0.27,1.37
2021,6,20,25.08,18.36,21.72,25.55,14.31,32.64,18.33,6.93,7.82,0.6,389.65,132.42,148.07,17.22,0.43,2.19
2021,6,21,25.91,18.89,22.4,26.39,12.17,32.39,20.22,6.49,7.81,0.56,395.16,122.72,146.12,16.05,0.39,1.96
2021,6,22,18.91,13.7,16.3,19.1,10.52,22.35,11.83,2.85,8.16,0.25,370.12,57.52,154.77,8.27,0.19,0.92
2021,6,23,16.75,6.88,11.82,17.69,15.22,24.18,8.95,8.35,8.7,0.72,311.28,154.74,159.78,20.07,0.46,2.31
2021,6,24,18.77,8.04,13.4,19.2,13.94,25.95,12.02,8.42,8.46,0.73,318.8,157.51,157.14,20.13,0.44,2.19
2021,6,25,20.07,12.31,16.19,20.79,16.94,27.82,10.88,8.22,8.53,0.71,338.02,152.85,157.27,19.74,0.45,2.23
2021,6,26,23.6,17.62,20.62,24.23,12.58,30.22,17.64,6.61,8.06,0.57,392.82,125.95,151.75,16.53,0.41,2.03
2021,6,27,24.07,19.32,21.69,24.41,11.6,30.01,18.41,6.94,7.94,0.6,396.2,135.02,153.06,17.66,0.45,2.3
2021,6,28,26.3,18.56,22.44,27.04,13.85,32.85,19.0,7.46,8.07,0.65,394.87,144.81,155.35,18.82,0.48,2.41
2021,6,29,26.88,17.83,22.36,27.73,14.74,34.03,19.28,7.99,8.26,0.7,379.65,152.38,156.46,19.63,0.48,2.4
2021,6,30,27.26,18.08,22.68,28.23,15.24,34.67,19.43,7.78,8.21,0.67,395.12,151.73,158.62,19.83,0.48,2.42
2021,7,1,24.6,18.91,21.76,24.92,10.7,30.3,19.6,4.37,7.66,0.38,402.23,86.42,146.27,11.92,0.29,1.44
2021,7,2,20.71,13.82,17.26,21.22,11.41,26.6,15.19,5.86,8.34,0.51,361.4,112.04,155.99,15.29,0.39,1.96
2021,7,3,19.33,11.35,15.34,20.01,12.7,25.51,12.8,6.78,8.1,0.59,346.79,126.59,149.55,16.48,0.38,1.85
2021,7,4,22.44,13.56,18.0,23.0,15.6,29.17,13.57,6.42,8.04,0.56,371.63,121.16,150.52,15.91,0.35,1.74
2021,7,5,25.27,15.6,20.44,25.71,15.25,32.46,17.21,7.16,7.64,0.62,378.04,133.23,141.17,16.7,0.38,1.87
2021,7,6,27.49,16.31,21.9,28.02,15.73,35.12,19.38,7.4,7.53,0.65,386.52,137.75,139.51,17.06,0.39,1.98
2021,7,7,27.4,17.43,22.42,28.18,13.11,33.88,20.77,5.82,7.3,0.51,403.45,109.15,135.05,13.91,0.34,1.71
2021,7,8,23.12,18.66,20.89,23.15,7.48,26.45,18.97,3.0,7.26,0.27,401.77,61.32,138.48,8.55,0.21,1.05
2021,7,9,25.01,16.67,20.83,25.6,14.33,32.1,17.78,6.36,7.86,0.55,390.52,123.25,150.43,16.3,0.41,2.02
2021,7,10,24.19,13.94,19.07,25.39,15.06,31.63,16.57,7.04,7.87,0.62,378.59,133.38,147.87,17.33,0.41,2.01
2021,7,11,25.3,18.4,21.85,26.01,12.49,31.9,19.41,5.92,7.41,0.52,402.37,113.91,140.58,14.84,0.34,1.73
2021,7,12,27.12,18.75,22.94,27.89,13.95,34.03,20.08,6.85,7.82,0.6,405.34,132.59,150.23,17.29,0.42,2.12
2021,7,13,26.48,17.55,22.01,27.07,11.44,32.35,20.91,7.66,7.98,0.68,391.75,147.8,152.91,19.16,0.5,2.55
2021,7,14,25.66,17.41,21.54,26.41,12.73,32.19,19.45,5.73,7.59,0.51,400.5,110.3,143.28,14.58,0.38,1.91
2021,7,15,25.7,17.55,21.62,26.49,13.26,32.15,18.89,6.35,7.32,0.56,400.15,119.45,135.71,15.06,0.35,1.77
2021,7,16,27.2,16.48,21.84,27.98,15.2,34.68,19.48,7.11,7.68,0.63,392.02,132.96,142.67,16.88,0.4,2.02
2021,7,17,26.33,18.19,22.26,26.68,12.53,33.76,21.23,5.94,7.65,0.53,409.88,115.4,146.72,15.5,0.38,1.95
2021,7,18,22.86,15.33,19.09,23.58,10.62,28.76,18.13,6.33,7.52,0.56,382.31,117.04,137.16,14.91,0.36,1.79
2021,7,19,24.11,13.68,18.89,24.79,13.1,31.07,17.97,6.2,6.87,0.55,379.04,111.89,122.37,13.46,0.3,1.49
2021,7,20,25.15,13.65,19.4,26.07,15.05,32.53,17.48,6.48,6.72,0.58,387.34,117.48,121.31,13.96,0.3,1.49
2021,7,21,25.12,14.84,19.98,25.88,12.81,32.01,19.2,5.4,6.55,0.48,393.66,97.16,117.13,11.75,0.26,1.3
2021,7,22,22.3,10.53,16.41,23.05,13.43,29.24,15.81,7.21,7.76,0.65,357.91,131.68,141.14,16.61,0.38,1.91
2021,7,23,23.33,9.94,16.64,23.98,15.54,31.23,15.69,6.71,7.56,0.61,379.88,126.39,140.87,16.29,0.38,1.93
2021,7,24,25.16,14.73,19.94,25.51,14.45,32.83,18.38,5.59,7.17,0.51,407.82,107.24,134.86,13.91,0.34,1.66
2021,7,25,26.4,18.4,22.4,26.98,13.76,33.79,20.03,4.76,6.99,0.43,410.45,91.02,131.22,12.05,0.29,1.46
2021,7,26,25.51,17.85,21.68,25.73,10.59,31.34,20.75,5.36,7.38,0.48,408.23,103.84,140.15,13.89,0.33,1.66
2021,7,27,26.74,13.47,20.11,27.47,16.48,34.8,18.32,7.36,7.58,0.67,379.65,136.8,140.31,17.24,0.38,1.91
2021,7,28,26.46,13.97,20.22,27.09,15.62,34.2,18.58,6.92,7.53,0.63,391.48,129.84,140.19,16.57,0.4,1.98
2021,7,29,26.8,15.38,21.09,27.48,15.18,34.4,19.21,4.1,5.45,0.38,407.62,72.3,93.79,8.05,0.16,0.82
2021,7,30,25.12,15.75,20.44,25.84,11.4,31.12,19.72,6.45,7.79,0.59,397.29,123.79,148.52,16.43,0.41,2.03
2021,7,31,23.39,11.38,17.38,24.33,13.54,29.99,16.44,5.81,7.57,0.54,390.36,110.98,142.21,14.91,0.38,1.92
2021,8,1,22.85,13.76,18.3,23.31,10.02,28.68,18.65,4.45,7.09,0.41,400.2,85.4,132.26,11.27,0.27,1.38
2021,8,2,21.56,10.86,16.21,22.69,13.87,28.83,14.96,6.83,7.87,0.63,354.67,126.2,144.59,16.46,0.39,1.94
2021,8,3,21.09,10.85,15.98,21.48,10.47,26.84,16.37,5.15,7.44,0.48,371.64,97.77,138.78,13.05,0.31,1.59
2021,8,4,21.88,12.27,17.08,22.43,13.79,28.85,15.06,7.15,7.52,0.67,353.48,134.07,140.32,17.07,0.39,1.96
2021,8,5,23.32,12.23,17.78,24.23,14.29,30.18,15.89,6.21,7.34,0.59,369.23,117.8,137.8,15.2,0.34,1.7
2021,8,6,24.82,12.72,18.77,25.62,15.46,32.74,17.28,6.53,7.44,0.62,372.98,122.62,138.72,15.77,0.36,1.8
2021,8,7,22.15,11.41,16.78,21.71,8.77,26.73,17.96,3.21,7.12,0.3,375.88,63.28,132.95,8.77,0.21,1.04
2021,8,8,24.47,13.86,19.16,24.8,15.34,32.22,16.87,5.94,7.03,0.56,386.7,112.17,131.63,14.52,0.35,1.78
2021,8,9,26.59,15.55,21.08,27.37,14.79,33.91,19.12,6.04,6.98,0.58,403.76,115.54,132.65,14.85,0.35,1.78
2021,8,10,27.08,18.36,22.72,27.81,13.59,34.15,20.56,5.12,6.81,0.49,422.46,98.77,129.73,12.95,0.32,1.62
2021,8,11,26.83,19.53,23.19,27.52,13.02,34.55,21.55,5.05,6.98,0.48,413.55,96.33,132.05,12.7,0.32,1.6
2021,8,12,27.87,19.12,23.5,28.31,14.73,36.34,21.62,6.7,6.98,0.65,410.28,128.02,133.09,16.25,0.39,1.96
2021,8,13,26.76,20.07,23.41,27.13,11.0,33.09,22.1,4.14,7.06,0.4,423.88,80.13,134.95,10.54,0.26,1.29
2021,8,14,25.72,19.3,22.51,26.37,11.71,32.06,20.35,4.44,6.77,0.43,418.36,86.8,129.78,11.85,0.3,1.48
2021,8,15,22.23,18.76,20.5,22.69,6.34,25.97,19.63,2.48,6.53,0.24,409.23,50.93,125.41,7.34,0.18,0.91
2021,8,16,22.76,20.73,21.75,22.92,7.61,27.65,20.05,3.49,6.73,0.34,407.19,70.43,130.56,9.85,0.26,1.3
2021,8,17,24.05,19.95,22.0,24.47,8.97,29.53,20.56,3.84,6.77,0.38,409.61,76.96,131.58,10.76,0.3,1.48
2021,8,18,25.18,21.1,23.14,25.3,8.86,30.46,21.6,4.57,6.74,0.45,409.7,90.28,131.17,12.2,0.32,1.62
2021,8,19,25.03,19.43,22.23,25.62,11.89,31.95,20.06,5.05,6.76,0.5,403.2,97.88,129.99,12.97,0.33,1.66
2021,8,20,23.18,19.31,21.24,23.42,7.66,27.74,20.08,4.36,6.61,0.44,399.17,86.27,127.27,11.67,0.29,1.46
2021,8,21,24.3,17.49,20.9,24.92,12.66,30.36,17.7,6.48,6.84,0.66,378.75,123.02,129.48,15.69,0.36,1.8
2021,8,22,24.67,16.98,20.83,24.55,10.57,30.25,19.68,5.3,6.71,0.54,383.86,101.31,127.21,13.36,0.31,1.55
2021,8,23,25.83,16.67,21.26,26.33,13.98,33.15,19.16,6.23,6.67,0.63,400.3,119.42,127.59,15.27,0.36,1.81
2021,8,24,27.06,15.56,21.31,27.23,14.62,34.65,20.02,6.73,6.74,0.69,385.64,127.7,127.81,16.15,0.36,1.81
2021,8,25,26.88,16.46,21.67,27.06,13.48,34.08,20.6,6.16,6.61,0.63,405.77,119.08,127.15,15.27,0.36,1.8
2021,8,26,26.73,18.99,22.86,27.05,12.98,33.4,20.43,5.75,6.42,0.59,407.58,111.02,123.63,14.34,0.34,1.69
2021,8,27,26.37,19.12,22.74,27.01,12.48,32.95,20.48,5.89,6.46,0.61,401.37,114.51,125.21,14.74,0.35,1.77
2021,8,28,26.49,19.42,22.95,26.94,13.59,33.74,20.15,6.05,6.51,0.63,398.79,116.25,124.67,14.89,0.36,1.83
2021,8,29,25.52,19.41,22.47,26.19,12.01,32.3,20.28,3.97,6.44,0.41,415.02,78.27,124.26,10.7,0.27,1.32
2021,8,30,25.14,19.3,22.22,25.61,10.98,31.01,20.02,5.09,6.48,0.54,406.95,100.1,126.27,13.38,0.34,1.7
2021,8,31,22.95,19.34,21.15,23.11,8.05,27.43,19.37,2.78,6.01,0.3,402.34,56.21,114.23,7.78,0.19,0.95
2021,9,1,20.73,19.7,20.22,20.65,8.59,24.67,16.08,1.7,6.36,0.18,405.09,36.27,125.05,5.47,0.15,0.73
2021,9,2,17.31,10.46,13.88,17.5,12.44,23.96,11.52,7.1,7.07,0.77,311.38,129.59,128.77,16.39,0.38,1.91
2021,9,3,16.9,9.41,13.15,17.01,14.8,24.18,9.38,6.87,6.85,0.74,307.99,125.93,125.26,15.88,0.35,1.76
2021,9,4,19.84,12.06,15.95,19.38,14.16,26.89,12.73,6.25,6.61,0.68,348.02,118.06,124.39,15.16,0.35,1.76
2021,9,5,20.54,16.87,18.7,20.6,9.16,25.37,16.22,2.21,5.73,0.24,398.8,45.1,108.45,6.47,0.16,0.83
2021,9,6,20.29,13.49,16.89,20.4,12.07,27.14,15.06,6.36,6.57,0.7,351.22,118.82,122.6,15.15,0.36,1.81
2021,9,7,20.68,13.1,16.89,20.9,14.63,28.59,13.96,6.37,6.47,0.71,334.52,118.8,120.46,14.95,0.34,1.66
2021,9,8,22.51,16.19,19.36,22.83,14.15,29.7,15.55,5.63,6.24,0.63,372.84,105.69,117.09,13.53,0.3,1.55
2021,9,9,19.07,14.3,16.69,19.33,10.69,24.55,13.86,3.78,6.23,0.42,364.85,72.3,117.16,9.77,0.22,1.11
2021,9,10,16.94,10.34,13.64,16.96,12.65,23.52,10.87,5.75,6.35,0.65,328.01,105.51,116.26,13.43,0.27,1.39
2021,9,11,18.54,11.21,14.87,18.05,11.95,25.15,13.19,5.62,6.14,0.64,334.02,103.3,112.97,12.96,0.27,1.36
2021,9,12,21.58,14.01,17.8,21.73,15.7,30.22,14.52,5.0,5.13,0.58,366.38,90.05,93.08,10.48,0.21,1.05
2021,9,13,23.69,16.08,19.88,23.42,14.08,31.23,17.15,5.0,5.04,0.58,378.62,89.35,90.76,10.42,0.23,1.13
2021,9,14,23.23,16.33,19.77,23.48,13.16,30.47,17.31,4.79,5.09,0.55,382.07,87.49,92.87,10.45,0.23,1.16
2021,9,15,23.71,16.3,20.01,23.91,13.4,30.58,17.19,5.38,5.76,0.63,380.55,101.01,108.16,12.68,0.29,1.45
2021,9,16,21.7,19.15,20.43,22.03,8.12,26.94,18.83,3.37,5.37,0.4,398.66,65.23,101.76,8.85,0.2,1.05
2021,9,17,22.0,17.8,19.9,22.35,9.66,27.76,18.1,3.5,5.66,0.41,398.16,68.97,109.63,9.4,0.22,1.12
2021,9,18,23.77,16.69,20.23,23.58,12.04,30.17,18.14,4.82,5.7,0.58,390.09,92.62,109.45,12.01,0.27,1.38
2021,9,19,22.28,16.19,19.23,22.91,12.36,29.23,16.87,5.31,5.72,0.64,373.76,99.91,107.77,12.65,0.29,1.48
2021,9,20,20.43,15.36,17.9,20.95,10.59,26.53,15.93,2.53,5.63,0.3,394.81,49.32,105.29,7.04,0.16,0.85
2021,9,21,18.48,16.75,17.62,18.59,9.24,22.83,13.6,2.26,5.58,0.27,384.93,45.08,106.34,6.52,0.16,0.8
2021,9,22,21.25,19.65,20.45,21.33,6.74,25.34,18.6,1.44,5.26,0.18,401.89,30.3,102.11,4.47,0.1,0.53
2021,9,23,15.16,10.27,12.72,15.33,10.49,20.35,9.86,5.05,5.89,0.63,330.06,92.93,108.42,11.95,0.26,1.3
2021,9,24,14.93,6.43,10.68,13.98,14.23,21.55,7.31,6.06,6.01,0.76,288.88,110.04,109.34,13.68,0.28,1.41
2021,9,25,16.08,8.6,12.34,14.69,10.62,21.92,11.3,5.11,5.78,0.65,316.29,94.12,106.29,12.1,0.27,1.35
2021,9,26,14.44,8.04,11.23,14.43,13.74,22.05,8.3,5.83,5.82,0.74,301.26,107.66,107.61,13.41,0.27,1.33
2021,9,27,16.93,9.81,13.37,16.95,17.14,26.22,9.08,5.61,5.59,0.72,324.57,105.01,104.88,13.05,0.27,1.31
2021,9,28,19.02,15.35,17.19,18.94,12.25,25.99,13.75,3.36,4.92,0.44,367.45,63.61,91.48,8.33,0.17,0.89
2021,9,29,16.77,10.85,13.81,16.74,11.5,23.66,12.16,5.22,5.5,0.69,331.24,97.37,102.77,12.24,0.25,1.24
2021,9,30,15.3,7.55,11.42,14.91,14.08,22.82,8.75,5.67,5.63,0.75,302.48,103.52,103.15,12.79,0.25,1.25
2021,10,1,15.13,8.15,11.64,14.55,14.21,22.68,8.47,5.55,5.53,0.74,299.44,100.89,100.88,12.39,0.24,1.22
2021,10,2,17.69,10.37,14.02,17.08,17.54,26.72,9.18,5.3,5.42,0.71,317.93,96.98,99.45,12.06,0.25,1.24
2021,10,3,19.15,14.36,16.76,18.98,10.72,24.69,13.97,4.27,4.78,0.58,367.14,79.83,90.1,10.11,0.23,1.14
2021,10,4,20.23,16.64,18.44,20.42,10.62,26.83,16.22,4.2,4.93,0.58,379.42,80.88,95.12,10.44,0.23,1.2
2021,10,5,19.3,16.85,18.07,19.32,9.39,24.61,15.22,3.97,4.82,0.55,374.6,75.18,91.47,9.7,0.21,1.06
2021,10,6,19.15,17.91,18.53,19.24,6.3,23.26,16.97,1.53,4.64,0.21,396.8,31.07,89.3,4.55,0.1,0.53
2021,10,7,18.02,15.52,16.77,18.15,6.38,22.16,15.8,1.85,4.58,0.26,380.99,36.87,86.8,5.28,0.12,0.63
2021,10,8,18.44,14.88,16.66,18.4,9.6,23.48,13.87,2.2,4.72,0.31,382.46,43.04,90.09,6.09,0.14,0.71
2021,10,9,16.94,14.33,15.63,17.15,6.05,20.48,14.44,1.8,4.46,0.26,373.12,35.63,83.88,5.09,0.12,0.6
2021,10,10,17.59,15.06,16.33,17.93,9.86,23.86,14.0,1.75,4.75,0.25,368.74,34.29,89.66,4.87,0.1,0.5
2021,10,11,17.18,14.26,15.73,17.58,8.8,22.73,13.94,2.64,4.73,0.38,356.96,50.35,88.75,6.85,0.15,0.74
2021,10,12,18.26,13.48,15.87,18.19,11.57,25.32,13.75,2.61,4.65,0.38,363.75,49.07,86.37,6.61,0.14,0.71
2021,10,13,18.44,13.76,16.1,18.04,13.65,25.61,11.96,3.65,4.65,0.55,355.66,67.96,86.57,8.8,0.19,0.95
2021,10,14,18.83,12.98,15.91,18.17,14.42,26.05,11.62,4.23,4.54,0.63,345.37,79.5,86.09,9.92,0.2,1.01
2021,10,15,21.33,16.24,18.79,21.25,12.8,28.75,15.94,3.22,4.37,0.48,380.55,61.63,84.02,8.13,0.18,0.9
2021,10,16,16.15,12.13,14.15,16.13,15.02,24.01,8.98,1.84,4.15,0.28,355.15,35.04,77.62,4.78,0.09,0.48
2021,10,17,10.42,2.57,6.5,10.55,10.64,16.4,5.76,3.7,4.76,0.57,303.46,66.58,85.8,8.48,0.16,0.8
2021,10,18,10.85,2.61,6.73,10.81,14.12,18.77,4.65,4.83,4.78,0.76,273.95,86.34,85.98,10.41,0.16,0.8
2021,10,19,11.94,3.65,7.79,11.83,18.08,22.21,4.13,4.72,4.67,0.74,286.1,85.61,85.23,10.31,0.17,0.85
2021,10,20,14.41,6.06,10.24,14.08,16.02,23.62,7.6,4.45,4.57,0.71,295.55,80.37,83.31,9.66,0.16,-999.0
2021,10,21,15.87,9.12,12.49,15.79,15.53,23.75,8.22,4.38,4.45,0.7,320.21,80.45,82.38,9.8,0.18,0.89
2021,10,22,13.65,7.94,10.79,13.99,11.63,19.52,7.89,3.64,4.34,0.59,334.95,66.41,79.23,8.38,0.16,0.77
2021,10,23,11.83,6.58,9.21,11.89,10.98,18.1,7.11,3.19,4.17,0.52,325.99,58.34,76.22,7.41,0.13,0.66
2021,10,24,14.28,8.28,11.28,14.22,13.86,22.08,8.23,4.07,4.12,0.67,328.64,75.41,76.98,9.13,0.17,0.85
2021,10,25,15.18,10.8,12.98,15.12,12.38,22.94,10.55,3.24,4.02,0.54,348.76,59.79,74.39,7.62,0.15,0.75
2021,10,26,10.12,5.54,7.83,10.22,6.8,13.2,6.39,2.82,4.24,0.48,326.09,51.5,77.59,6.7,0.12,0.61
2021,10,27,10.96,6.64,8.8,11.18,12.07,18.48,6.4,4.19,4.14,0.72,299.27,77.74,77.69,9.32,0.16,0.77
2021,10,28,11.3,9.34,10.32,11.23,9.14,15.84,6.7,1.74,4.0,0.3,339.44,33.43,74.24,4.77,0.09,0.49
2021,10,29,13.51,11.61,12.56,13.23,8.55,18.69,10.13,1.71,3.84,0.3,359.77,32.61,72.41,4.45,0.09,0.45
2021,10,30,11.08,9.83,10.46,11.2,6.19,14.42,8.23,1.3,3.78,0.23,346.05,25.44,70.14,3.71,0.07,0.34
2021,10,31,10.48,7.25,8.87,10.55,9.71,16.27,6.56,2.72,3.87,0.48,320.01,50.61,71.96,6.51,0.11,0.55
2021,11,1,8.65,2.56,5.6,8.26,10.2,14.93,4.73,3.98,4.05,0.72,287.88,71.91,73.73,8.59,0.15,0.72
2021,11,2,4.65,2.06,3.36,4.26,8.62,8.37,-0.25,1.09,3.51,0.2,303.9,21.14,62.97,3.03,0.06,0.3
2021,11,3,2.93,-3.03,-0.06,2.88,12.1,9.14,-2.96,4.02,4.1,0.74,247.95,70.77,72.62,8.47,0.13,0.67
2021,11,4,3.12,-3.45,-0.17,2.12,11.17,9.33,-1.85,3.02,3.86,0.56,254.84,53.3,67.68,6.74,0.11,0.52
2021,11,5,2.42,-4.27,-0.92,1.73,13.58,9.9,-3.67,3.82,3.91,0.72,238.96,66.48,68.52,7.84,0.1,0.52
2021,11,6,3.64,-3.49,0.08,2.28,12.05,10.33,-1.72,3.69,3.96,0.7,245.91,64.2,69.2,7.73,0.11,0.55
2021,11,7,5.23,-1.24,2.0,4.7,14.12,13.77,-0.35,3.78,3.89,0.72,255.05,66.19,68.66,7.86,0.12,0.59
2021,11,8,9.05,2.44,5.74,8.15,16.62,18.99,2.36,3.65,3.69,0.7,278.25,65.98,67.32,7.72,0.12,-999.0
2021,11,9,11.75,3.8,7.77,10.89,17.16,22.05,4.9,3.76,3.75,0.73,284.4,66.8,67.17,7.84,0.14,0.7
2021,11,10,12.58,8.32,10.44,12.2,12.64,20.13,7.48,3.49,3.46,0.69,304.16,63.28,63.51,7.41,0.13,0.66
2021,11,11,10.19,8.23,9.22,10.03,11.12,16.39,5.26,2.82,3.44,0.56,308.8,51.09,62.65,6.44,0.11,0.55
2021,11,12,10.87,5.48,8.17,10.4,9.96,15.01,5.05,3.56,3.6,0.71,294.46,64.54,65.78,7.73,0.12,0.58
2021,11,13,3.68,-1.53,1.08,3.51,9.45,7.39,-2.06,2.97,3.54,0.6,269.55,52.34,62.57,6.42,0.09,0.44
2021,11,14,1.19,-2.17,-0.49,1.0,11.7,7.79,-3.91,2.25,3.41,0.46,277.19,41.55,61.2,5.52,0.07,0.35
2021,11,15,1.23,-3.52,-1.14,1.01,8.72,6.67,-2.05,3.12,3.55,0.65,265.12,54.92,62.8,6.68,0.08,0.41
2021,11,16,4.15,-0.32,1.91,3.37,15.58,12.98,-2.6,2.33,3.36,0.48,284.94,42.88,61.15,5.58,0.07,0.34
2021,11,17,9.36,7.37,8.37,8.59,16.8,19.22,2.4,3.18,3.23,0.67,293.95,57.71,59.3,6.82,0.09,0.43
2021,11,18,10.11,7.1,8.61,9.73,17.16,19.84,2.68,2.98,3.18,0.63,305.77,54.13,58.53,6.49,0.09,0.47
2021,11,19,0.58,-5.75,-2.58,0.37,9.23,5.79,-3.45,3.48,3.52,0.74,230.98,60.41,61.77,7.11,0.09,0.48
2021,11,20,-0.17,-5.74,-2.95,-1.24,8.16,4.96,-3.2,2.18,3.42,0.47,249.02,38.53,59.91,5.12,0.07,0.35
2021,11,21,2.87,-1.9,0.48,2.73,10.18,8.37,-1.81,1.71,3.01,0.38,291.16,31.4,53.53,4.2,0.06,0.3
2021,11,22,2.78,-2.68,0.05,2.55,12.38,7.69,-4.69,2.3,3.25,0.51,280.91,41.34,58.02,5.32,0.08,0.38
2021,11,23,-2.31,-8.27,-5.29,-2.37,8.94,3.73,-5.2,3.39,3.37,0.75,212.02,57.88,58.37,6.63,0.07,0.36
2021,11,24,0.31,-5.56,-2.62,0.1,13.11,8.4,-4.72,3.11,3.23,0.7,241.26,55.04,57.76,6.39,0.08,-999.0
2021,11,25,5.5,-0.19,2.65,5.16,16.77,14.98,-1.79,2.59,3.06,0.59,293.68,45.78,54.45,5.61,0.08,0.38
2021,11,26,0.74,-4.49,-1.88,0.61,8.45,3.78,-4.67,2.65,3.27,0.6,270.45,46.13,57.31,5.62,0.09,0.41
2021,11,27,-0.27,-6.88,-3.57,-0.72,11.45,6.55,-4.91,3.06,3.12,0.7,247.67,54.43,56.28,6.3,0.07,0.37
2021,11,28,2.92,-1.15,0.89,2.62,12.81,11.01,-1.8,2.9,3.02,0.66,264.8,50.47,53.37,5.9,0.07,0.35
2021,11,29,-0.59,-5.74,-3.16,-0.83,8.27,4.83,-3.45,2.74,3.16,0.63,247.7,47.66,55.58,5.7,0.06,0.32
2021,11,30,2.59,-2.26,0.17,2.32,14.12,11.76,-2.37,2.93,3.01,0.68,265.62,51.16,53.39,5.93,0.06,0.31
2021,12,1,3.8,0.66,2.23,3.12,12.84,11.37,-1.47,1.67,2.95,0.39,287.42,30.3,52.88,4.04,0.05,0.24
2021,12,2,8.73,5.48,7.11,8.23,14.88,16.98,2.11,2.67,2.88,0.63,302.21,48.54,53.25,5.79,0.06,0.33
2021,12,3,6.4,0.6,3.51,5.19,11.91,13.39,1.48,2.62,2.9,0.62,279.48,47.29,53.26,5.6,0.07,0.33
2021,12,4,5.1,0.7,2.9,4.3,14.96,14.45,-0.51,2.71,2.9,0.65,271.08,48.57,52.91,5.74,0.07,0.34
2021,12,5,3.1,-3.56,-0.23,2.14,9.99,9.27,-0.71,1.42,2.79,0.34,285.63,25.85,50.39,3.49,0.05,0.23
2021,12,6,6.3,2.68,4.48,6.01,16.6,15.33,-1.27,1.74,2.59,0.42,307.14,31.97,47.95,4.13,0.05,0.28
2021,12,7,-0.92,-8.26,-4.6,-0.95,9.66,4.65,-5.01,2.17,3.02,0.52,245.95,37.77,52.8,4.78,0.06,0.3
